account_id,degree_centrality,betweenness_centrality,pagerank,clustering_coeff,eigenvector_centrality,amount_zscore,velocity,entropy_risk,cluster_density,n_sent,n_received,total_sent,mean_sent,unique_receivers
ACC01311,-0.02574843415268517,-0.008788134102592798,-0.03421895189109119,-0.06042188408601725,0.0,-0.18889622052746954,-0.00029533226891505026,-0.0004968278885224323,-0.023149499570840382,-0.01434352118150046,-0.013124621291226369,-0.05071737161342718,-0.046208220322152715,-0.021527473319854575
ACC01852,-0.011062304964430794,0.008145235228524242,-0.053026449638447264,-0.04454504920568742,0.0,-0.1796469491162353,-0.0006082219869819889,-0.003406523956927615,-0.022290825962421264,-0.013033748074926535,-0.022133832612110906,-0.05335613207512529,-0.05516311516042854,-0.017808574691096743
ACC01379,0.00028241606084043806,-0.049631065266737294,-0.03243945584478289,-0.04205870494931762,0.0,-0.19633200605307152,-0.0011219556147398244,-0.019308120351957166,-0.01794074562397042,-0.014665505274436087,-0.0060756933741486895,-0.025563784119602206,-0.04038799764402954,-0.012693874160343139
ACC01002,0.010542127330229849,0.008034527113112254,-0.04186714856590562,-0.042322451242865725,0.0,-0.18012537320738928,-0.0013042615424466205,-0.019479747950161955,-0.007658861337701771,-0.02351251185564722,-0.011512766909884295,-0.05914180717280759,-0.05032426657633695,-0.029263950298490764
ACC00085,-0.008277521778465857,-0.02551284515157191,-0.053323041974177476,-0.04530736943588901,0.0,-0.19903596567987858,-0.0013805016721979708,-0.023336432588409044,-0.009229290375690787,-0.02270636490325835,0.006599174417018511,-0.04089770236999649,-0.05574444257856139,-0.019784188125217043
ACC00830,-0.02533868662545705,-0.009478707464701284,-0.052640495369396786,-0.03511456723737336,0.0,-0.19231664337011473,-0.0007988227796765497,0.0012571289814339364,-0.009332740190806123,-0.011084972986094148,0.0017129135765859226,-0.05272317731974111,-0.06512900837707414,-0.016948713053879835
ACC01997,0.016706030448282366,0.06277323562328646,0.02814416678762284,0.004840307835804499,0.0,-0.14685195298937023,-0.0005898884514677419,0.024729456388281706,0.015686983917736215,0.0186116454532402,0.061207143702980804,0.001245558528978502,-0.010221671207088587,0.01578249174541737
ACC00868,-0.008385390282395088,-0.061678095845777464,-0.01740536427693625,-0.046063987766268154,0.0,-0.19227493589570244,-0.0003487209594516416,-0.0017325368793809578,-0.01537362244039265,-0.014920483079393398,-0.010662151458546144,-0.04928705981993544,-0.058140248916274055,-0.021663894595841865
ACC00406,-0.01857632843347112,-0.013357726484778098,-0.04472587134624319,-0.06100267538021091,0.0,-0.201201272601736,-0.0010912163914309665,0.003968729395102684,5.250251885638653e-06,-0.014190513404338176,-0.005675597258225149,-0.04943350931440488,-0.05677807127554498,-0.015877689972900566
ACC01316,0.03376193441338231,0.05954324562128671,0.08992103422752976,0.01890423297865567,0.0,-0.12334650692723076,-0.0002699438408196887,0.04176576702511916,0.02204939069914999,0.021359427610230665,0.04583545121947953,0.014895203949401479,0.0006706774290107862,0.016973593378508813
